4	500	47	524	23	326	31	959	5	
4	526	29	579	7	488	29	725	50	
4	548	45	898	28	179	15	773	40	
4	223	12	125	18	224	24	318	28	
4	740	47	942	19	542	33	892	42	
4	787	17	884	38	945	37	213	32	
4	9	36	567	18	246	32	695	36	
4	702	35	166	5	401	1	505	31	
4	160	9	369	29	39	40	493	6	
4	254	30	439	40	724	29	221	18	
4	581	26	737	1	911	8	771	17	
4	167	11	437	36	305	21	271	21	
4	31	1	940	9	569	12	365	41	
4	86	23	780	47	642	17	692	13	
4	201	3	767	47	779	13	247	21	
4	289	30	314	26	455	38	592	25	
4	650	45	775	11	291	50	937	26	
4	164	39	427	39	459	18	937	46	
4	61	36	769	23	101	40	509	10	
4	461	35	693	33	316	30	884	47	
4	872	45	210	48	542	38	778	10	
4	928	6	116	7	574	35	870	45	
4	376	37	534	22	763	19	4	42	
4	634	7	382	15	455	27	787	35	
4	274	30	28	45	65	34	216	45	
4	73	6	263	4	28	8	466	33	
4	619	32	608	16	293	31	780	41	
4	17	13	173	37	385	10	614	36	
4	992	27	999	21	941	12	483	38	
4	88	25	37	45	732	29	300	25	
4	53	36	214	37	164	12	948	36	
4	841	39	74	12	489	32	203	3	
4	185	24	802	24	729	15	108	27	
4	948	48	516	3	311	27	550	49	
4	735	17	24	18	720	14	454	38	
4	132	23	542	11	792	33	531	20	
4	501	19	870	30	558	26	985	45	
4	190	2	533	34	724	36	919	27	
4	209	15	463	10	176	48	377	18	
4	167	27	15	2	494	37	871	34	
4	918	21	81	8	268	29	308	35	
4	605	31	369	50	108	38	247	12	
4	810	33	865	2	461	8	325	42	
4	484	46	615	49	666	41	325	34	
4	362	38	532	43	570	46	635	35	
4	10	33	518	14	6	6	974	49	
4	130	20	87	4	70	8	506	38	
4	947	11	676	24	21	25	135	36	
4	857	32	535	42	816	1	592	14	
4	244	24	158	11	835	50	68	11	
4	554	21	897	40	212	13	265	29	
4	139	9	520	47	982	25	68	5	
4	916	36	851	27	767	19	169	15	
4	173	23	983	27	187	45	634	16	
4	258	17	48	32	967	47	704	48	
4	669	44	913	30	310	10	259	16	
4	306	17	454	16	591	33	656	12	
4	682	24	835	36	293	25	838	13	
4	137	49	970	6	590	14	296	42	
4	473	41	841	33	172	40	446	35	
4	124	32	537	3	96	41	708	38	
4	453	17	73	13	258	22	449	25	
4	648	22	617	24	673	41	113	31	
4	206	14	967	24	145	41	892	13	
4	418	21	973	26	728	15	45	7	
4	654	49	969	42	361	9	300	38	
4	39	27	851	6	522	10	828	37	
4	316	41	707	3	445	12	765	39	
4	563	44	153	19	346	43	755	42	
4	244	19	546	33	291	24	821	33	
4	509	29	754	30	310	18	871	38	
4	276	7	925	27	463	35	761	33	
4	960	35	380	14	212	18	454	12	
4	976	47	742	10	375	29	278	4	
4	122	10	389	42	856	21	348	8	
4	582	18	701	19	464	47	712	45	
4	496	10	944	29	462	38	126	49	
4	322	39	780	8	46	19	533	4	
4	895	6	267	46	149	5	657	1	
4	753	30	795	42	119	40	514	34	
4	852	39	580	22	409	49	891	26	
